"sweep","stim_index_70.x","tech_rep.x","origin_stim_label","origin_wavelength","origin_stimulus_ND","stim_index_70.y","tech_rep.y","zeus_wavelength","zeus_stimulus_ND","zeus_stim_label","label_match","wavelength_match","nd_match"
1,1,1,"650A 4.0","650",4,1,1,"650",4,"650A 4.0",TRUE,TRUE,TRUE
2,1,2,"650A 4.0","650",4,1,2,"650",4,"650A 4.0",TRUE,TRUE,TRUE
3,1,3,"650A 4.0","650",4,1,3,"650",4,"650A 4.0",TRUE,TRUE,TRUE
4,1,4,"650A 4.0","650",4,1,4,"650",4,"650A 4.0",TRUE,TRUE,TRUE
5,2,1,"650A 3.5","650",3.5,2,1,"650",3.5,"650A 3.5",TRUE,TRUE,TRUE
6,2,2,"650A 3.5","650",3.5,2,2,"650",3.5,"650A 3.5",TRUE,TRUE,TRUE
7,2,3,"650A 3.5","650",3.5,2,3,"650",3.5,"650A 3.5",TRUE,TRUE,TRUE
8,2,4,"650A 3.5","650",3.5,2,4,"650",3.5,"650A 3.5",TRUE,TRUE,TRUE
9,3,1,"650A 3.0","650",3,3,1,"650",3,"650A 3.0",TRUE,TRUE,TRUE
10,3,2,"650A 3.0","650",3,3,2,"650",3,"650A 3.0",TRUE,TRUE,TRUE
11,3,3,"650A 3.0","650",3,3,3,"650",3,"650A 3.0",TRUE,TRUE,TRUE
12,3,4,"650A 3.0","650",3,3,4,"650",3,"650A 3.0",TRUE,TRUE,TRUE
13,4,1,"650A 2.5","650",2.5,4,1,"650",2.5,"650A 2.5",TRUE,TRUE,TRUE
14,4,2,"650A 2.5","650",2.5,4,2,"650",2.5,"650A 2.5",TRUE,TRUE,TRUE
15,4,3,"650A 2.5","650",2.5,4,3,"650",2.5,"650A 2.5",TRUE,TRUE,TRUE
16,4,4,"650A 2.5","650",2.5,4,4,"650",2.5,"650A 2.5",TRUE,TRUE,TRUE
17,5,1,"650A 2.0","650",2,5,1,"650",2,"650A 2.0",TRUE,TRUE,TRUE
18,5,2,"650A 2.0","650",2,5,2,"650",2,"650A 2.0",TRUE,TRUE,TRUE
19,5,3,"650A 2.0","650",2,5,3,"650",2,"650A 2.0",TRUE,TRUE,TRUE
20,5,4,"650A 2.0","650",2,5,4,"650",2,"650A 2.0",TRUE,TRUE,TRUE
21,6,1,"650A 1.5","650",1.5,6,1,"650",1.5,"650A 1.5",TRUE,TRUE,TRUE
22,6,2,"650A 1.5","650",1.5,6,2,"650",1.5,"650A 1.5",TRUE,TRUE,TRUE
23,6,3,"650A 1.5","650",1.5,6,3,"650",1.5,"650A 1.5",TRUE,TRUE,TRUE
24,6,4,"650A 1.5","650",1.5,6,4,"650",1.5,"650A 1.5",TRUE,TRUE,TRUE
25,7,1,"650A 1.0","650",1,7,1,"650",1,"650A 1.0",TRUE,TRUE,TRUE
26,7,2,"650A 1.0","650",1,7,2,"650",1,"650A 1.0",TRUE,TRUE,TRUE
27,7,3,"650A 1.0","650",1,7,3,"650",1,"650A 1.0",TRUE,TRUE,TRUE
28,7,4,"650A 1.0","650",1,7,4,"650",1,"650A 1.0",TRUE,TRUE,TRUE
29,8,1,"570 5.0","570",5,8,1,"570",5,"570 5.0",TRUE,TRUE,TRUE
30,8,2,"570 5.0","570",5,8,2,"570",5,"570 5.0",TRUE,TRUE,TRUE
31,8,3,"570 5.0","570",5,8,3,"570",5,"570 5.0",TRUE,TRUE,TRUE
32,8,4,"570 5.0","570",5,8,4,"570",5,"570 5.0",TRUE,TRUE,TRUE
33,9,1,"570 4.5","570",4.5,9,1,"570",4.5,"570 4.5",TRUE,TRUE,TRUE
34,9,2,"570 4.5","570",4.5,9,2,"570",4.5,"570 4.5",TRUE,TRUE,TRUE
35,9,3,"570 4.5","570",4.5,9,3,"570",4.5,"570 4.5",TRUE,TRUE,TRUE
36,9,4,"570 4.5","570",4.5,9,4,"570",4.5,"570 4.5",TRUE,TRUE,TRUE
37,10,1,"570 4.0","570",4,10,1,"570",4,"570 4.0",TRUE,TRUE,TRUE
38,10,2,"570 4.0","570",4,10,2,"570",4,"570 4.0",TRUE,TRUE,TRUE
39,10,3,"570 4.0","570",4,10,3,"570",4,"570 4.0",TRUE,TRUE,TRUE
40,10,4,"570 4.0","570",4,10,4,"570",4,"570 4.0",TRUE,TRUE,TRUE
41,11,1,"570 3.5","570",3.5,11,1,"570",3.5,"570 3.5",TRUE,TRUE,TRUE
42,11,2,"570 3.5","570",3.5,11,2,"570",3.5,"570 3.5",TRUE,TRUE,TRUE
43,11,3,"570 3.5","570",3.5,11,3,"570",3.5,"570 3.5",TRUE,TRUE,TRUE
44,11,4,"570 3.5","570",3.5,11,4,"570",3.5,"570 3.5",TRUE,TRUE,TRUE
45,12,1,"570 3.0","570",3,12,1,"570",3,"570 3.0",TRUE,TRUE,TRUE
46,12,2,"570 3.0","570",3,12,2,"570",3,"570 3.0",TRUE,TRUE,TRUE
47,12,3,"570 3.0","570",3,12,3,"570",3,"570 3.0",TRUE,TRUE,TRUE
48,12,4,"570 3.0","570",3,12,4,"570",3,"570 3.0",TRUE,TRUE,TRUE
49,13,1,"570 2.5","570",2.5,13,1,"570",2.5,"570 2.5",TRUE,TRUE,TRUE
50,13,2,"570 2.5","570",2.5,13,2,"570",2.5,"570 2.5",TRUE,TRUE,TRUE
51,13,3,"570 2.5","570",2.5,13,3,"570",2.5,"570 2.5",TRUE,TRUE,TRUE
52,13,4,"570 2.5","570",2.5,13,4,"570",2.5,"570 2.5",TRUE,TRUE,TRUE
53,14,1,"570 2.0","570",2,14,1,"570",2,"570 2.0",TRUE,TRUE,TRUE
54,14,2,"570 2.0","570",2,14,2,"570",2,"570 2.0",TRUE,TRUE,TRUE
55,14,3,"570 2.0","570",2,14,3,"570",2,"570 2.0",TRUE,TRUE,TRUE
56,14,4,"570 2.0","570",2,14,4,"570",2,"570 2.0",TRUE,TRUE,TRUE
57,15,1,"490 5.0","490",5,15,1,"490",5,"490 5.0",TRUE,TRUE,TRUE
58,15,2,"490 5.0","490",5,15,2,"490",5,"490 5.0",TRUE,TRUE,TRUE
59,15,3,"490 5.0","490",5,15,3,"490",5,"490 5.0",TRUE,TRUE,TRUE
60,15,4,"490 5.0","490",5,15,4,"490",5,"490 5.0",TRUE,TRUE,TRUE
61,16,1,"490 4.5","490",4.5,16,1,"490",4.5,"490 4.5",TRUE,TRUE,TRUE
62,16,2,"490 4.5","490",4.5,16,2,"490",4.5,"490 4.5",TRUE,TRUE,TRUE
63,16,3,"490 4.5","490",4.5,16,3,"490",4.5,"490 4.5",TRUE,TRUE,TRUE
64,16,4,"490 4.5","490",4.5,16,4,"490",4.5,"490 4.5",TRUE,TRUE,TRUE
65,17,1,"490 4.0","490",4,17,1,"490",4,"490 4.0",TRUE,TRUE,TRUE
66,17,2,"490 4.0","490",4,17,2,"490",4,"490 4.0",TRUE,TRUE,TRUE
67,17,3,"490 4.0","490",4,17,3,"490",4,"490 4.0",TRUE,TRUE,TRUE
68,17,4,"490 4.0","490",4,17,4,"490",4,"490 4.0",TRUE,TRUE,TRUE
69,18,1,"490 3.5","490",3.5,18,1,"490",3.5,"490 3.5",TRUE,TRUE,TRUE
70,18,2,"490 3.5","490",3.5,18,2,"490",3.5,"490 3.5",TRUE,TRUE,TRUE
71,18,3,"490 3.5","490",3.5,18,3,"490",3.5,"490 3.5",TRUE,TRUE,TRUE
72,18,4,"490 3.5","490",3.5,18,4,"490",3.5,"490 3.5",TRUE,TRUE,TRUE
73,19,1,"490 3.0","490",3,19,1,"490",3,"490 3.0",TRUE,TRUE,TRUE
74,19,2,"490 3.0","490",3,19,2,"490",3,"490 3.0",TRUE,TRUE,TRUE
75,19,3,"490 3.0","490",3,19,3,"490",3,"490 3.0",TRUE,TRUE,TRUE
76,19,4,"490 3.0","490",3,19,4,"490",3,"490 3.0",TRUE,TRUE,TRUE
77,20,1,"490 2.5","490",2.5,20,1,"490",2.5,"490 2.5",TRUE,TRUE,TRUE
78,20,2,"490 2.5","490",2.5,20,2,"490",2.5,"490 2.5",TRUE,TRUE,TRUE
79,20,3,"490 2.5","490",2.5,20,3,"490",2.5,"490 2.5",TRUE,TRUE,TRUE
80,20,4,"490 2.5","490",2.5,20,4,"490",2.5,"490 2.5",TRUE,TRUE,TRUE
81,21,1,"490 2.0","490",2,21,1,"490",2,"490 2.0",TRUE,TRUE,TRUE
82,21,2,"490 2.0","490",2,21,2,"490",2,"490 2.0",TRUE,TRUE,TRUE
83,21,3,"490 2.0","490",2,21,3,"490",2,"490 2.0",TRUE,TRUE,TRUE
84,21,4,"490 2.0","490",2,21,4,"490",2,"490 2.0",TRUE,TRUE,TRUE
85,22,1,"410 5.0","410",5,22,1,"410",5,"410 5.0",TRUE,TRUE,TRUE
86,22,2,"410 5.0","410",5,22,2,"410",5,"410 5.0",TRUE,TRUE,TRUE
87,22,3,"410 5.0","410",5,22,3,"410",5,"410 5.0",TRUE,TRUE,TRUE
88,22,4,"410 5.0","410",5,22,4,"410",5,"410 5.0",TRUE,TRUE,TRUE
89,23,1,"410 4.5","410",4.5,23,1,"410",4.5,"410 4.5",TRUE,TRUE,TRUE
90,23,2,"410 4.5","410",4.5,23,2,"410",4.5,"410 4.5",TRUE,TRUE,TRUE
91,23,3,"410 4.5","410",4.5,23,3,"410",4.5,"410 4.5",TRUE,TRUE,TRUE
