"stim_label","wavelength","stimulus_ND","time_ms","zeus_value","worksheet_value","diff","abs_diff","sq_diff"
"410 5.0","410",5,1996,-45.4330454491014,35.5196173115947,-80.9526627606961,80.9526627606961,6553.333608047
"410 5.0","410",5,1986.5,-46.3485728133151,34.4621947892522,-80.8107676025673,80.8107676025673,6530.38016051614
"410 5.0","410",5,1993.5,-45.5703745537335,34.8331252686148,-80.4034998223483,80.4034998223483,6464.72278368236
"410 5.0","410",5,1999,-44.5556650583967,34.8603104675192,-79.4159755259159,79.4159755259159,6306.89716873287
"410 5.0","410",5,1997,-44.0979013762899,35.2637436025808,-79.3616449788707,79.3616449788707,6298.27069375232
"410 5.0","410",5,1994,-43.9453134822543,34.9876486952908,-78.9329621775451,78.9329621775451,6230.41251812177
"410 5.0","410",5,1995.5,-43.365479484919,35.4466548685609,-78.8121343534799,78.8121343534799,6211.35252135097
"410 5.0","410",5,1998,-43.4112558531297,35.2351680521546,-78.6464239052843,78.6464239052843,6185.25999308967
"410 5.0","410",5,1986,-44.3801889802558,34.2286890778412,-78.608878058097,78.608878058097,6179.35570955276
"410 5.0","410",5,1976,-48.0728160159174,30.1915834019415,-78.2643994178589,78.2643994178589,6125.31621623816
"410 5.0","410",5,1987.5,-43.3197031167083,34.6573223342332,-77.9770254509415,77.9770254509415,6080.41649817678
"410 5.0","410",5,1991.5,-42.8237924610926,34.8751068690344,-77.698899330127,77.698899330127,6037.11895711321
"410 5.0","410",5,1995,-41.5725717300006,35.4749657910368,-77.0475375210374,77.0475375210374,5936.32303805567
"410 5.0","410",5,1998.5,-41.8853769127736,35.1403226317188,-77.0256995444924,77.0256995444924,5932.95839031842
"410 5.0","410",5,1985.5,-42.8771982240051,34.0645414985325,-76.9417397225376,76.9417397225376,5920.03131153071
"410 5.0","410",5,1991,-41.8624887286683,34.84273974072,-76.7052284693883,76.7052284693883,5883.69207454106
"410 5.0","410",5,1917.5,-48.9501964066221,27.7219715115533,-76.6721679181754,76.6721679181754,5878.62133327289
"410 5.0","410",5,1937,-49.2095958264827,27.4519371839018,-76.6615330103845,76.6615330103845,5876.99064350227
"410 5.0","410",5,1999.5,-41.9921884385986,34.6631429774763,-76.6553314160749,76.6553314160749,5876.03983450827
"410 5.0","410",5,1981.5,-44.1436777445006,32.4360125567711,-76.5796903012717,76.5796903012717,5864.44896663868
"410 5.0","410",5,1988,-41.7938241763523,34.772456833523,-76.5662810098753,76.5662810098753,5862.39538768319
"410 5.0","410",5,1981,-44.2733774544308,32.1706021045931,-76.443979559024,76.443979559024,5843.68201082047
"410 5.0","410",5,1989.5,-41.5725717300006,34.8607728550666,-76.4333445850672,76.4333445850672,5842.05616445963
"410 5.0","410",5,1996.5,-40.9469613644547,35.4105114412511,-76.3574728057058,76.3574728057058,5830.46365327409
"410 5.0","410",5,1988.5,-41.4352426253686,34.9000757965912,-76.3353184219598,76.3353184219598,5827.08083858199
